id,language,is_tts,group_key
MAR_F_DIGI_00026,Marathi,0,MAR_F
en_m_EN_E_6644,English,0,en_m
NEP_F_NAMES_03309,Nepali,1,NEP_F
DOI_M_ALEXA_00265,Dogri,1,DOI_M
DOI_M_CONV_00745,Dogri,1,DOI_M
train_manipurimale_07733,Manipuri,1,train_manipurimale
NEP_F_BOOK_00543,Nepali,0,NEP_F
ASM_F_INDIC_00148,Assamese,1,ASM_F
MAL_F_NEWS_00872,Malayalam,0,MAL_F
train_manipurimale_08593,Manipuri,1,train_manipurimale
ASM_F_CONV_01661,Assamese,1,ASM_F
MAL_F_SURPRISE_00007,Malayalam,1,MAL_F
text4591,Odia,1,text4591
SAN_M_ANGER_00186,Sanskrit,0,SAN_M
MAL_F_BOOK_00788,Malayalam,1,MAL_F
DOI_M_HAPPY_00518,Dogri,0,DOI_M
DOI_M_CONV_00071,Dogri,1,DOI_M
MAL_F_BOOK_00113,Malayalam,1,MAL_F
BEN_M_DISGUST_00404,Bengali,0,BEN_M
text0364,Odia,1,text0364
BEN_M_SURPRISE_00380,Bengali,1,BEN_M
BEN_M_WIKI_01078,Bengali,0,BEN_M
train_manipurimale_06201,Manipuri,0,train_manipurimale
MAR_F_FEAR_00450,Marathi,1,MAR_F
MAL_F_SURPRISE_00157,Malayalam,0,MAL_F
train_gujaratifemale_01834,Gujarati,0,train_gujaratifemale
BRX_F_CONV_01087,Bodo,1,BRX_F
DOI_M_DISGUST_00257,Dogri,0,DOI_M
NEP_F_SURPRISE_00233,Nepali,0,NEP_F
text0460,Odia,1,text0460
SAN_M_CONV_00896,Sanskrit,1,SAN_M
train_gujaratifemale_02372,Gujarati,1,train_gujaratifemale
NEP_F_BOOK_00748,Nepali,1,NEP_F
BEN_M_INDIC_00902,Bengali,1,BEN_M
DOI_M_ALEXA_00174,Dogri,0,DOI_M
DOI_M_BB_00157,Dogri,0,DOI_M
BRX_F_HAPPY_00061,Bodo,1,BRX_F
text2939,Odia,1,text2939
text1003,Odia,1,text1003
NEP_F_DIGI_00110,Nepali,0,NEP_F
NEP_F_NEWS_00736,Nepali,0,NEP_F
BEN_M_INDIC_00250,Bengali,1,BEN_M
en_m_libri_7190-90542-0005,English,1,en_m
text3151,Odia,0,text3151
te_f_other_01618,Telugu,1,te_f
en_m_lj_LJ013-0146,English,1,en_m
te_f_books_socialscience_03396,Telugu,1,te_f
text5590,Odia,0,text5590
te_f_books_socialscience_02264,Telugu,0,te_f
NEP_F_WIKI_03212,Nepali,0,NEP_F
MAR_F_ALEXA_00083,Marathi,1,MAR_F
NEP_F_NAMES_00763,Nepali,0,NEP_F
en_m_EN_A_6851,English,0,en_m
ASM_F_SURPRISE_00283,Assamese,0,ASM_F
train_gujaratifemale_01124,Gujarati,0,train_gujaratifemale
text0232,Odia,0,text0232
BEN_M_INDIC_00819,Bengali,0,BEN_M
ASM_F_SURPRISE_00254,Assamese,0,ASM_F
MAL_F_SURPRISE_00142,Malayalam,1,MAL_F
SAN_M_HAPPY_00083,Sanskrit,1,SAN_M
text3614,Odia,1,text3614
MAL_F_WIKI_01719,Malayalam,0,MAL_F
NEP_F_SURPRISE_00039,Nepali,0,NEP_F
BRX_F_ANGER_00139,Bodo,1,BRX_F
DOI_M_ANGER_00315,Dogri,0,DOI_M
train_manipurimale_02384,Manipuri,0,train_manipurimale
train_manipurimale_01703,Manipuri,1,train_manipurimale
NEP_F_NAMES_00325,Nepali,1,NEP_F
train_manipurimale_03584,Manipuri,1,train_manipurimale
DOI_M_ANGER_00090,Dogri,1,DOI_M
DOI_M_FEAR_00498,Dogri,0,DOI_M
text3626,Odia,0,text3626
text1870,Odia,1,text1870
DOI_M_CONV_00163,Dogri,0,DOI_M
NEP_F_NAMES_02633,Nepali,0,NEP_F
NEP_F_SAD_00093,Nepali,1,NEP_F
MAR_F_BB_00083,Marathi,0,MAR_F
te_f_agri_01879,Telugu,1,te_f
ASM_F_FEAR_00085,Assamese,1,ASM_F
ASM_F_WIKI_02253,Assamese,0,ASM_F
MAL_F_SURPRISE_00038,Malayalam,0,MAL_F
NEP_F_WIKI_03317,Nepali,0,NEP_F
en_m_lj_LJ047-0172,English,1,en_m
text1121,Odia,1,text1121
NEP_F_FEAR_00498,Nepali,1,NEP_F
NEP_F_SURPRISE_00194,Nepali,1,NEP_F
text2224,Odia,1,text2224
text0146,Odia,1,text0146
DOI_M_FEAR_00045,Dogri,0,DOI_M
train_manipurimale_01112,Manipuri,1,train_manipurimale
BEN_M_INDIC_00471,Bengali,0,BEN_M
KAN_M_DISGUST_00311,Kannada,1,KAN_M
SAN_M_BOOK_00102,Sanskrit,0,SAN_M
train_gujaratifemale_01720,Gujarati,0,train_gujaratifemale
SAN_M_CONV_01025,Sanskrit,1,SAN_M
ASM_F_FEAR_00030,Assamese,0,ASM_F
text1225,Odia,0,text1225
train_manipurimale_00569,Manipuri,1,train_manipurimale
KAN_M_WIKI_02391,Kannada,0,KAN_M
BEN_M_FEAR_00414,Bengali,0,BEN_M
en_m_E_P_2401,English,1,en_m
SAN_M_WIKI_02373,Sanskrit,0,SAN_M
DOI_M_HAPPY_00629,Dogri,0,DOI_M
MAL_F_NAMES_00362,Malayalam,0,MAL_F
NEP_F_DIGI_00040,Nepali,1,NEP_F
NEP_F_CONV_01036,Nepali,0,NEP_F
en_m_E_P_1523,English,1,en_m
KAN_M_DISGUST_00129,Kannada,0,KAN_M
train_manipurimale_08060,Manipuri,0,train_manipurimale
SAN_M_BB_00008,Sanskrit,0,SAN_M
BEN_M_CONV_01816,Bengali,1,BEN_M
SAN_M_HAPPY_00185,Sanskrit,1,SAN_M
MAL_F_NEWS_01130,Malayalam,1,MAL_F
DOI_M_ANGER_00533,Dogri,1,DOI_M
ASM_F_INDIC_00637,Assamese,1,ASM_F
SAN_M_FEAR_00214,Sanskrit,0,SAN_M
NEP_F_NAMES_03296,Nepali,1,NEP_F
en_m_libri_1116-132851-0001,English,1,en_m
SAN_M_HAPPY_00136,Sanskrit,0,SAN_M
te_f_health_02026,Telugu,1,te_f
train_gujaratifemale_02391,Gujarati,1,train_gujaratifemale
text1117,Odia,0,text1117
en_m_EN_F_4495,English,1,en_m
MAL_F_INDIC_00217,Malayalam,0,MAL_F
en_m_EN_O_1660,English,1,en_m
NEP_F_FEAR_00321,Nepali,0,NEP_F
MAL_F_BOOK_01030,Malayalam,1,MAL_F
NEP_F_WIKI_00877,Nepali,1,NEP_F
en_m_libri_6476-96661-0011,English,0,en_m
te_f_agri_01480,Telugu,1,te_f
MAL_F_WIKI_02315,Malayalam,1,MAL_F
BRX_F_FEAR_00029,Bodo,0,BRX_F
en_m_lj_LJ038-0118,English,0,en_m
KAN_M_CONV_01914,Kannada,1,KAN_M
NEP_F_SURPRISE_00102,Nepali,1,NEP_F
DOI_M_DISGUST_00296,Dogri,1,DOI_M
KAN_M_HAPPY_00047,Kannada,1,KAN_M
DOI_M_ALEXA_00081,Dogri,0,DOI_M
SAN_M_CONV_01586,Sanskrit,0,SAN_M
NEP_F_ALEXA_00086,Nepali,1,NEP_F
SAN_M_WIKI_02176,Sanskrit,0,SAN_M
DOI_M_ANGER_00244,Dogri,0,DOI_M
te_f_finance_00740,Telugu,0,te_f
NEP_F_CONV_02603,Nepali,1,NEP_F
SAN_M_ALEXA_00172,Sanskrit,0,SAN_M
NEP_F_FEAR_00479,Nepali,0,NEP_F
train_manipurimale_06692,Manipuri,1,train_manipurimale
BRX_F_BB_00028,Bodo,1,BRX_F
DOI_M_CONV_01667,Dogri,0,DOI_M
train_manipurimale_07646,Manipuri,0,train_manipurimale
train_manipurimale_05467,Manipuri,0,train_manipurimale
train_gujaratifemale_02177,Gujarati,0,train_gujaratifemale
train_manipurimale_05947,Manipuri,0,train_manipurimale
DOI_M_ANGER_00325,Dogri,1,DOI_M
train_manipurimale_01061,Manipuri,1,train_manipurimale
SAN_M_BOOK_00896,Sanskrit,1,SAN_M
SAN_M_ANGER_00018,Sanskrit,0,SAN_M
NEP_F_CONV_02104,Nepali,1,NEP_F
en_m_EN_H_3541,English,0,en_m
SAN_M_ANGER_00363,Sanskrit,0,SAN_M
text4371,Odia,0,text4371
train_manipurimale_07310,Manipuri,0,train_manipurimale
train_manipurimale_06062,Manipuri,1,train_manipurimale
MAR_F_FEAR_00073,Marathi,1,MAR_F
text2617,Odia,0,text2617
NEP_F_UMANG_00024,Nepali,0,NEP_F
ASM_F_INDIC_00150,Assamese,1,ASM_F
SAN_M_WIKI_01160,Sanskrit,0,SAN_M
text3049,Odia,0,text3049
text0024,Odia,0,text0024
KAN_M_DISGUST_00417,Kannada,1,KAN_M
DOI_M_ANGER_00414,Dogri,1,DOI_M
NEP_F_CONV_01784,Nepali,1,NEP_F
KAN_M_NAMES_02622,Kannada,0,KAN_M
SAN_M_CONV_02016,Sanskrit,0,SAN_M
MAR_F_FEAR_00182,Marathi,1,MAR_F
BRX_F_FEAR_00217,Bodo,0,BRX_F
en_m_EN_E_2189,English,1,en_m
DOI_M_BOOK_00104,Dogri,0,DOI_M
BEN_M_ANGER_00085,Bengali,1,BEN_M
BRX_F_ANGER_00440,Bodo,1,BRX_F
MAR_F_ANGER_00240,Marathi,1,MAR_F
SAN_M_CONV_01410,Sanskrit,0,SAN_M
text5773,Odia,1,text5773
ASM_F_INDIC_00270,Assamese,0,ASM_F
SAN_M_FEAR_00121,Sanskrit,1,SAN_M
en_m_lj_LJ035-0119,English,0,en_m
te_f_weather_01648,Telugu,0,te_f
en_m_EN_H_3075,English,1,en_m
MAL_F_INDIC_00288,Malayalam,0,MAL_F
MAR_F_ANGER_00281,Marathi,0,MAR_F
en_m_EN_O_441,English,1,en_m
MAL_F_INDIC_00081,Malayalam,0,MAL_F
en_m_EN_A_4861,English,0,en_m
ASM_F_NEWS_00180,Assamese,1,ASM_F
BRX_F_BB_00101,Bodo,0,BRX_F
BRX_F_CONV_01464,Bodo,1,BRX_F
SAN_M_FEAR_00291,Sanskrit,1,SAN_M
MAL_F_NEWS_00095,Malayalam,0,MAL_F
KAN_M_ALEXA_00318,Kannada,1,KAN_M
DOI_M_FEAR_00188,Dogri,0,DOI_M
KAN_M_HAPPY_00372,Kannada,1,KAN_M
DOI_M_HAPPY_00137,Dogri,1,DOI_M
NEP_F_NAMES_01479,Nepali,0,NEP_F
text1069,Odia,0,text1069
NEP_F_WIKI_02907,Nepali,1,NEP_F
train_manipurimale_09638,Manipuri,1,train_manipurimale
text3253,Odia,0,text3253
DOI_M_BOOK_00177,Dogri,1,DOI_M
MAL_F_NAMES_00827,Malayalam,0,MAL_F
en_m_EN_E_6094,English,1,en_m
DOI_M_CONV_01613,Dogri,1,DOI_M
ASM_F_SURPRISE_00085,Assamese,1,ASM_F
NEP_F_FEAR_00044,Nepali,0,NEP_F
text3058,Odia,0,text3058
DOI_M_DISGUST_00022,Dogri,0,DOI_M
text3241,Odia,1,text3241
ASM_F_CONV_02874,Assamese,1,ASM_F
ASM_F_SURPRISE_00442,Assamese,1,ASM_F
en_m_EN_H_1879,English,0,en_m
ASM_F_NEWS_00724,Assamese,1,ASM_F
train_manipurimale_01100,Manipuri,1,train_manipurimale
en_m_EN_H_324,English,1,en_m
KAN_M_DISGUST_00421,Kannada,0,KAN_M
NEP_F_DISGUST_00468,Nepali,0,NEP_F
text4053,Odia,1,text4053
SAN_M_FEAR_00200,Sanskrit,0,SAN_M
en_m_libri_3982-178459-0012,English,1,en_m
NEP_F_DIGI_00085,Nepali,1,NEP_F
te_f_books_socialscience_02538,Telugu,0,te_f
KAN_M_DISGUST_00296,Kannada,1,KAN_M
DOI_M_ANGER_00288,Dogri,1,DOI_M
BRX_F_ALEXA_00287,Bodo,0,BRX_F
text0756,Odia,0,text0756
KAN_M_BB_00097,Kannada,1,KAN_M
BRX_F_HAPPY_00124,Bodo,0,BRX_F
NEP_F_SAD_00462,Nepali,0,NEP_F
SAN_M_BOOK_01001,Sanskrit,1,SAN_M
DOI_M_CONV_01502,Dogri,1,DOI_M
BEN_M_HAPPY_00295,Bengali,1,BEN_M
MAL_F_WIKI_00397,Malayalam,1,MAL_F
train_manipurimale_00767,Manipuri,0,train_manipurimale
MAR_F_DISGUST_00098,Marathi,0,MAR_F
NEP_F_SAD_00032,Nepali,0,NEP_F
en_m_EN_H_1676,English,1,en_m
te_f_finance_01001,Telugu,1,te_f
text0675,Odia,0,text0675
DOI_M_BB_00066,Dogri,0,DOI_M
en_m_EN_H_3339,English,0,en_m
text3929,Odia,1,text3929
NEP_F_NEWS_00220,Nepali,1,NEP_F
ASM_F_ALEXA_00164,Assamese,0,ASM_F
train_manipurimale_06173,Manipuri,1,train_manipurimale
ASM_F_INDIC_00358,Assamese,1,ASM_F
KAN_M_INDIC_00374,Kannada,1,KAN_M
text0352,Odia,0,text0352
NEP_F_CONV_00063,Nepali,0,NEP_F
DOI_M_ALEXA_00157,Dogri,1,DOI_M
BRX_F_CONV_02948,Bodo,1,BRX_F
BEN_M_SANGRAH_00626,Bengali,1,BEN_M
en_m_EN_O_2541,English,0,en_m
ASM_F_SURPRISE_00052,Assamese,1,ASM_F
text5034,Odia,0,text5034
MAL_F_NAMES_02228,Malayalam,1,MAL_F
te_f_education_00774,Telugu,1,te_f
NEP_F_FEAR_00428,Nepali,1,NEP_F
train_manipurimale_04141,Manipuri,1,train_manipurimale
DOI_M_BOOK_01026,Dogri,0,DOI_M
MAR_F_HAPPY_00356,Marathi,1,MAR_F
text4954,Odia,0,text4954
SAN_M_ANGER_00235,Sanskrit,0,SAN_M
MAR_F_UMANG_00116,Marathi,0,MAR_F
BEN_M_BB_00130,Bengali,0,BEN_M
te_f_books_socialscience_00623,Telugu,1,te_f
MAL_F_BOOK_01302,Malayalam,0,MAL_F
te_f_books_socialscience_04560,Telugu,1,te_f
MAR_F_BOOK_00498,Marathi,0,MAR_F
NEP_F_BB_00093,Nepali,0,NEP_F
en_m_EN_E_7193,English,0,en_m
NEP_F_DISGUST_00117,Nepali,1,NEP_F
KAN_M_BOOK_01404,Kannada,0,KAN_M
SAN_M_DISGUST_00008,Sanskrit,0,SAN_M
BEN_M_INDIC_00251,Bengali,1,BEN_M
text3012,Odia,0,text3012
DOI_M_ALEXA_00200,Dogri,0,DOI_M
te_f_education_02809,Telugu,1,te_f
train_manipurimale_04645,Manipuri,1,train_manipurimale
DOI_M_FEAR_00395,Dogri,1,DOI_M
SAN_M_FEAR_00280,Sanskrit,0,SAN_M
train_gujaratifemale_02070,Gujarati,1,train_gujaratifemale
train_gujaratifemale_01481,Gujarati,0,train_gujaratifemale
SAN_M_CONV_02131,Sanskrit,0,SAN_M
text0833,Odia,1,text0833
NEP_F_DISGUST_00191,Nepali,0,NEP_F
te_f_books_socialscience_02131,Telugu,1,te_f
DOI_M_BOOK_00786,Dogri,1,DOI_M
MAL_F_BOOK_01010,Malayalam,0,MAL_F
KAN_M_HAPPY_00060,Kannada,0,KAN_M
BRX_F_ALEXA_00155,Bodo,0,BRX_F
train_manipurimale_06499,Manipuri,1,train_manipurimale
DOI_M_CONV_00817,Dogri,1,DOI_M
ASM_F_ANGER_00008,Assamese,0,ASM_F
MAR_F_FEAR_00431,Marathi,0,MAR_F
en_m_EN_H_1784,English,1,en_m
train_manipurimale_01500,Manipuri,1,train_manipurimale
text4878,Odia,1,text4878
BEN_M_INDIC_00391,Bengali,1,BEN_M
te_f_agri_00093,Telugu,0,te_f
DOI_M_ANGER_00135,Dogri,0,DOI_M
NEP_F_BOOK_00150,Nepali,0,NEP_F
BRX_F_FEAR_00007,Bodo,0,BRX_F
BEN_M_BOOK_01065,Bengali,0,BEN_M
BEN_M_FEAR_00093,Bengali,0,BEN_M
MAR_F_INDIC_00164,Marathi,1,MAR_F
MAL_F_NAMES_00345,Malayalam,0,MAL_F
MAR_F_BB_00149,Marathi,1,MAR_F
SAN_M_WIKI_00870,Sanskrit,0,SAN_M
NEP_F_FEAR_00137,Nepali,1,NEP_F
MAR_F_DISGUST_00173,Marathi,1,MAR_F
te_f_other_00985,Telugu,0,te_f
MAL_F_NEWS_00951,Malayalam,1,MAL_F
text4211,Odia,1,text4211
MAR_F_UMANG_00075,Marathi,1,MAR_F
en_m_EN_W_2839,English,0,en_m
ASM_F_HAPPY_00328,Assamese,1,ASM_F
SAN_M_CONV_02120,Sanskrit,1,SAN_M
KAN_M_SAD_00301,Kannada,1,KAN_M
text2924,Odia,1,text2924
BEN_M_BB_00017,Bengali,0,BEN_M
train_gujaratifemale_01030,Gujarati,0,train_gujaratifemale
SAN_M_UMANG_00079,Sanskrit,1,SAN_M
train_manipurimale_00524,Manipuri,1,train_manipurimale
ASM_F_CONV_02064,Assamese,0,ASM_F
en_m_EN_O_561,English,0,en_m
BEN_M_BOOK_01400,Bengali,1,BEN_M
train_gujaratifemale_02033,Gujarati,0,train_gujaratifemale
BRX_F_ALEXA_00154,Bodo,1,BRX_F
SAN_M_ALEXA_00205,Sanskrit,1,SAN_M
train_gujaratifemale_01448,Gujarati,1,train_gujaratifemale
train_gujaratifemale_00314,Gujarati,0,train_gujaratifemale
SAN_M_WIKI_02491,Sanskrit,0,SAN_M
MAL_F_INDIC_00456,Malayalam,0,MAL_F
DOI_M_BOOK_01177,Dogri,0,DOI_M
text4721,Odia,1,text4721
en_m_EN_E_1945,English,1,en_m
BRX_F_ANGER_00026,Bodo,0,BRX_F
text1730,Odia,0,text1730
text3073,Odia,0,text3073
en_m_EN_O_1874,English,0,en_m
train_gujaratifemale_01179,Gujarati,0,train_gujaratifemale
train_manipurimale_02849,Manipuri,0,train_manipurimale
KAN_M_WIKI_01889,Kannada,0,KAN_M
en_m_EN_E_5002,English,1,en_m
SAN_M_CONV_00052,Sanskrit,1,SAN_M
text5531,Odia,0,text5531
BEN_M_ANGER_00258,Bengali,1,BEN_M
NEP_F_BOOK_00698,Nepali,1,NEP_F
MAL_F_NAMES_00670,Malayalam,0,MAL_F
MAL_F_NAMES_02443,Malayalam,0,MAL_F
en_m_EN_A_1736,English,1,en_m
ASM_F_FEAR_00159,Assamese,0,ASM_F
MAL_F_SURPRISE_00245,Malayalam,0,MAL_F
train_manipurimale_04957,Manipuri,1,train_manipurimale
ASM_F_INDIC_00701,Assamese,0,ASM_F
ASM_F_CONV_01430,Assamese,0,ASM_F
ASM_F_WIKI_01237,Assamese,0,ASM_F
BEN_M_INDIC_00091,Bengali,1,BEN_M
MAL_F_NEWS_00691,Malayalam,0,MAL_F
text1696,Odia,0,text1696
SAN_M_CONV_02101,Sanskrit,1,SAN_M
MAL_F_WIKI_01065,Malayalam,0,MAL_F
DOI_M_CONV_00381,Dogri,1,DOI_M
NEP_F_CONV_01491,Nepali,1,NEP_F
NEP_F_DISGUST_00079,Nepali,1,NEP_F
KAN_M_SAD_00064,Kannada,1,KAN_M
BRX_F_ANGER_00302,Bodo,1,BRX_F
en_m_EN_O_2576,English,1,en_m
DOI_M_DISGUST_00036,Dogri,0,DOI_M
MAL_F_SAD_00396,Malayalam,1,MAL_F
ASM_F_FEAR_00447,Assamese,1,ASM_F
en_m_EN_E_6557,English,0,en_m
KAN_M_INDIC_00075,Kannada,1,KAN_M
SAN_M_ANGER_00035,Sanskrit,1,SAN_M
te_f_education_01614,Telugu,1,te_f
text3340,Odia,0,text3340
MAL_F_INDIC_00118,Malayalam,0,MAL_F
KAN_M_SAD_00217,Kannada,1,KAN_M
BRX_F_FEAR_00112,Bodo,0,BRX_F
MAL_F_NEWS_00463,Malayalam,0,MAL_F
NEP_F_SURPRISE_00001,Nepali,1,NEP_F
en_m_EN_E_2187,English,0,en_m
SAN_M_ALEXA_00096,Sanskrit,1,SAN_M
DOI_M_ANGER_00071,Dogri,0,DOI_M
BRX_F_CONV_00668,Bodo,0,BRX_F
ASM_F_DIGI_00078,Assamese,1,ASM_F
BEN_M_DIGI_00025,Bengali,0,BEN_M
MAL_F_BOOK_01400,Malayalam,1,MAL_F
MAL_F_SURPRISE_00086,Malayalam,0,MAL_F
MAL_F_NAMES_02170,Malayalam,1,MAL_F
BEN_M_HAPPY_00096,Bengali,0,BEN_M
en_m_lj_LJ045-0092,English,1,en_m
train_gujaratifemale_01440,Gujarati,1,train_gujaratifemale
DOI_M_DISGUST_00029,Dogri,1,DOI_M
MAR_F_BOOK_00465,Marathi,0,MAR_F
NEP_F_NEWS_00556,Nepali,1,NEP_F
BEN_M_INDIC_00182,Bengali,1,BEN_M
BEN_M_DISGUST_00233,Bengali,0,BEN_M
ASM_F_CONV_03100,Assamese,0,ASM_F
KAN_M_DIGI_00067,Kannada,0,KAN_M
KAN_M_FEAR_00460,Kannada,0,KAN_M
SAN_M_BOOK_00092,Sanskrit,1,SAN_M
SAN_M_BOOK_00960,Sanskrit,0,SAN_M
en_m_EN_F_3660,English,0,en_m
SAN_M_WIKI_01965,Sanskrit,0,SAN_M
train_manipurimale_09202,Manipuri,0,train_manipurimale
BEN_M_ANGER_00400,Bengali,0,BEN_M
MAR_F_HAPPY_00150,Marathi,0,MAR_F
text4910,Odia,0,text4910
ASM_F_CONV_00553,Assamese,0,ASM_F
MAL_F_SURPRISE_00029,Malayalam,0,MAL_F
DOI_M_CONV_00976,Dogri,1,DOI_M
BEN_M_CONV_02338,Bengali,1,BEN_M
SAN_M_BOOK_00764,Sanskrit,0,SAN_M
train_manipurimale_05432,Manipuri,0,train_manipurimale
MAL_F_SAD_00140,Malayalam,0,MAL_F
train_manipurimale_07299,Manipuri,0,train_manipurimale
BEN_M_ANGER_00065,Bengali,1,BEN_M
NEP_F_HAPPY_00176,Nepali,1,NEP_F
BEN_M_FEAR_00503,Bengali,1,BEN_M
BRX_F_HAPPY_00202,Bodo,0,BRX_F
text0696,Odia,0,text0696
en_m_lj_LJ038-0134,English,1,en_m
DOI_M_DISGUST_00422,Dogri,1,DOI_M
MAL_F_SAD_00213,Malayalam,0,MAL_F
BRX_F_HAPPY_00097,Bodo,0,BRX_F
text5514,Odia,0,text5514
BEN_M_NEWS_00721,Bengali,0,BEN_M
NEP_F_FEAR_00233,Nepali,1,NEP_F
BEN_M_INDIC_00137,Bengali,0,BEN_M
ASM_F_NEWS_00491,Assamese,1,ASM_F
BRX_F_FEAR_00151,Bodo,0,BRX_F
KAN_M_ANGER_00100,Kannada,0,KAN_M
BEN_M_INDIC_00883,Bengali,0,BEN_M
BEN_M_WIKI_01028,Bengali,1,BEN_M
NEP_F_NEWS_00485,Nepali,0,NEP_F
DOI_M_BOOK_01411,Dogri,1,DOI_M
MAL_F_BOOK_00111,Malayalam,0,MAL_F
NEP_F_SAD_00473,Nepali,1,NEP_F
train_manipurimale_04038,Manipuri,0,train_manipurimale
DOI_M_FEAR_00271,Dogri,0,DOI_M
MAL_F_INDIC_00591,Malayalam,1,MAL_F
SAN_M_CONV_00519,Sanskrit,1,SAN_M
en_m_lj_LJ019-0297,English,1,en_m
BRX_F_ANGER_00196,Bodo,1,BRX_F
MAL_F_BOOK_01167,Malayalam,0,MAL_F
en_m_lj_LJ028-0435,English,1,en_m
MAL_F_NAMES_02349,Malayalam,1,MAL_F
BEN_M_WIKI_00589,Bengali,0,BEN_M
KAN_M_INDIC_00221,Kannada,0,KAN_M
KAN_M_SAD_00415,Kannada,0,KAN_M
MAR_F_CONV_01617,Marathi,1,MAR_F
DOI_M_BOOK_01040,Dogri,1,DOI_M
text3029,Odia,1,text3029
SAN_M_BB_00100,Sanskrit,0,SAN_M
DOI_M_HAPPY_00239,Dogri,0,DOI_M
MAL_F_NEWS_00755,Malayalam,1,MAL_F
train_manipurimale_01315,Manipuri,1,train_manipurimale
NEP_F_HAPPY_00371,Nepali,1,NEP_F
MAL_F_INDIC_00208,Malayalam,0,MAL_F
MAR_F_BB_00016,Marathi,1,MAR_F
train_gujaratifemale_01871,Gujarati,0,train_gujaratifemale
SAN_M_ALEXA_00253,Sanskrit,0,SAN_M
SAN_M_CONV_00754,Sanskrit,0,SAN_M
MAL_F_INDIC_00553,Malayalam,0,MAL_F
KAN_M_NEWS_00707,Kannada,0,KAN_M
te_f_agri_01064,Telugu,0,te_f
ASM_F_SURPRISE_00377,Assamese,1,ASM_F
MAR_F_INDIC_00038,Marathi,1,MAR_F
DOI_M_ALEXA_00206,Dogri,1,DOI_M
BRX_F_ANGER_00097,Bodo,0,BRX_F
BRX_F_BOOK_01565,Bodo,0,BRX_F
ASM_F_CONV_02911,Assamese,0,ASM_F
ASM_F_INDIC_00285,Assamese,1,ASM_F
MAR_F_DISGUST_00415,Marathi,1,MAR_F
BEN_M_SURPRISE_00049,Bengali,0,BEN_M
BRX_F_ANGER_00472,Bodo,0,BRX_F
NEP_F_NEWS_00502,Nepali,1,NEP_F
ASM_F_HAPPY_00061,Assamese,0,ASM_F
SAN_M_WIKI_01578,Sanskrit,1,SAN_M
MAL_F_SURPRISE_00092,Malayalam,1,MAL_F
SAN_M_DIGI_00104,Sanskrit,1,SAN_M
NEP_F_SURPRISE_00309,Nepali,1,NEP_F
text3570,Odia,0,text3570
BEN_M_CONV_00984,Bengali,0,BEN_M
